,False_0,False_1,False_2,False_3,False_4,False_5,False_6,False_7,False_8,prompt
opt-6.7b,0,0.20603384841795438,0.24096385542168677,0.24747814391392065,0.2246408358728777,0.23103279490944686,0.21904761904761902,0.20954907161803712,0.24030037546933664,1
opt-6.7b,0,0.18251533742331288,0.23163841807909608,0.25832766825288916,0.24407171775592829,0.2533609100310238,0.24205061648280335,0.24043386562217536,0.23764044943820226,2
opt-6.7b,0,0.1806949806949807,0.24021962937542898,0.2538616521155138,0.2495840266222962,0.253056884635832,0.22600243013365734,0.2111251580278129,0.24427020506634498,3
opt-6.7b,0.003289473684210526,0.23603351955307264,0.2911306702775897,0.2933333333333333,0.27035490605427975,0.28672985781990523,0.2735412164248225,0.25943970767356883,0.26969522714203564,4
opt-6.7b,0.0033003300330033004,0.23099850968703428,0.2782006920415225,0.289738430583501,0.2790152403282532,0.29219143576826195,0.2676767676767677,0.25473071324599705,0.26713124274099886,5
blip2-opt-6.7b,0.003284072249589491,0.2109256449165402,0.23941605839416055,0.26019417475728157,0.2691131498470948,0.2651331719128329,0.19151036525172754,0.21819749892194912,0.18873488646416986,1
blip2-opt-6.7b,0,0.2004698512137823,0.2838196286472149,0.25942492012779556,0.27148194271481946,0.26598465473145777,0.220125786163522,0.21769837972579975,0.17612419700214133,2
blip2-opt-6.7b,0,0.2165196471531676,0.2835302293259208,0.26427196921103274,0.26865671641791045,0.26675094816687733,0.21714285714285717,0.23047375160051214,0.21451717433570963,3
blip2-opt-6.7b,0.003311258278145696,0.2393026941362916,0.3092936802973978,0.30247718383311606,0.313312693498452,0.31415643180349057,0.2783138649060437,0.2905982905982906,0.2504816955684008,4
blip2-opt-6.7b,0.006578947368421052,0.24279210925644915,0.29287598944591026,0.2787096774193548,0.2957920792079208,0.3070967741935484,0.2848134524435102,0.28430836522689995,0.24529667149059334,5
