,False_0,False_1,False_2,False_3,False_4,prompt
opt-2.7b,0.05714285714285715,0.2310756972111554,0.28360413589364847,0.2410785091197462,0.2931696085955487,1
opt-2.7b,0.04630969609261939,0.14583333333333334,0.16744186046511628,0.28803905614320585,0.215,2
opt-2.7b,0.024132730015082954,0.22464375523889354,0.16117216117216118,0.2666666666666667,0.24752475247524752,3
opt-2.7b,0.07365439093484419,0.14407582938388624,0.1915641476274165,0.25535561268209084,0.29833333333333334,4
opt-2.7b,0.06367583212735166,0.1369334619093539,0.2866191607284244,0.273950910530483,0.29623944742901004,5
bert-large-uncased-whole-word-masking-squad2,0.06783919597989949,NA,NA,NA,NA,1
bert-large-uncased-whole-word-masking-squad2,0.09956709956709957,NA,NA,NA,NA,2
bert-large-uncased-whole-word-masking-squad2,0.0888382687927107,NA,NA,NA,NA,3
bert-large-uncased-whole-word-masking-squad2,0.1,NA,NA,NA,NA,4
bert-large-uncased-whole-word-masking-squad2,0.12684989429175475,NA,NA,NA,NA,5
flan-t5-xl,0.5385996409335727,0.5021720243266726,0.5236486486486486,0.5119453924914675,0.5194805194805194,1
flan-t5-xl,0.5292740046838408,0.5180840664711632,0.4974306269270298,0.569280343716434,0.532150776053215,2
flan-t5-xl,0.5481798715203426,0.537525354969574,0.47978436657681944,0.5714285714285714,0.5342960288808666,3
flan-t5-xl,0.5779543197616683,0.5640552995391706,0.5208333333333334,0.5248091603053435,0.5031674208144796,4
flan-t5-xl,0.5087108013937282,0.5448717948717948,0.5448785638859557,0.5121951219512195,0.526211671612265,5
llama-7b-hf,0.3252647503782148,0.40513983371126233,0.3502736512900704,0.2573189522342065,0.3709798055347794,1
llama-7b-hf,0.18341463414634146,0.2990152193375112,0.45486851457000704,0.35614422369389254,0.2786377708978328,2
llama-7b-hf,0.18233618233618235,0.16216216216216217,0.2274509803921569,0.2158730158730159,0.3954480796586059,3
llama-7b-hf,0.3264049268668206,0.20189274447949526,0.340826686004351,0.20781249999999998,0.3047619047619048,4
llama-7b-hf,0.342443729903537,0.2233009708737864,0.2976461655277145,0.44511278195488724,0.2578616352201258,5
opt-6.7b,0.012944983818770225,0.27625354777672656,0.3765243902439024,0.2744453574363188,0.221678891605542,1
opt-6.7b,0,0.13134328358208955,0.26421404682274247,0.23942394239423945,0.36335642802155504,2
opt-6.7b,NA,NA,NA,NA,NA,3
opt-6.7b,NA,NA,NA,NA,NA,4
opt-6.7b,NA,NA,NA,NA,NA,5
longformer-base-4096-finetuned-squadv2,0.015698587127158554,NA,NA,NA,NA,1
longformer-base-4096-finetuned-squadv2,0.009693053311793215,NA,NA,NA,NA,2
longformer-base-4096-finetuned-squadv2,0.012539184952978054,NA,NA,NA,NA,3
longformer-base-4096-finetuned-squadv2,0.011331444759206798,NA,NA,NA,NA,4
longformer-base-4096-finetuned-squadv2,0.012441679626749611,NA,NA,NA,NA,5
llama-13b-hf,0.2,0.17816813048933497,0.17816813048933497,0.17816813048933497,0.17816813048933497,1
llama-13b-hf,NA,NA,NA,NA,NA,2
llama-13b-hf,NA,NA,NA,NA,NA,3
llama-13b-hf,NA,NA,NA,NA,NA,4
llama-13b-hf,NA,NA,NA,NA,NA,5
